,Avg Sample Range,Avg Sample Var,PRNG,Pop Range,Pop Var,Pop size,Range Bias,Range Bias/SE,Range SE,Sample size,Var Bias,Var Bias/SE,Var SE,method,seed,,
0,0.133339,0.06898004,RANDU,0.13333333333333333,0.06896551724137931,30,5.666666666681586e-06,0.11559655607145294,4.902106826762975e-05,2,1.4522758620696963e-05,0.536607527864946,2.706402326944632e-05,extreme items,100,,
1,111111,0.06879064,RANDU,0.13333333333333333,0.06896551724137931,30,-5.685333333332876e-05,-1.1597734472643249,4.902106826762975e-05,2,-0.00017487724137930927,-6.46161288136104,2.706402326944632e-05,least freq sample,100,,
2,0.13332942,0.06896507,SD,0.13333333333333333,0.06896551724137931,30,-3.91333333332744e-06,-0.07982962166313182,4.902106826762975e-05,2,-4.4724137930607366e-07,-0.01652531018220719,2.706402326944632e-05,extreme items,100,,
3,0.13328694,0.06892215,SD,0.13333333333333333,0.06896551724137931,30,-4.639333333333884e-05,-0.9463958043520219,4.902106826762975e-05,2,-4.336724137930792e-05,-1.602394475778735,2.706402326944632e-05,least freq sample,100,,
4,0.13332714,0.06896207,SD,0.13333333333333333,0.06896551724137931,30,-6.1933333333208385e-06,-0.1263402359880946,4.902106826762975e-05,2,-3.447241379309074e-06,-0.12737357432000163,2.706402326944632e-05,extreme items,233424280,,
5,0.13330818,0.06893947,SD,0.13333333333333333,0.06896551724137931,30,-2.515333333333314e-05,-0.5131127130075769,4.902106826762975e-05,2,-2.6047241379306696e-05,-0.9624304974904633,2.706402326944632e-05,least freq sample,233424280,,
6,0.13335264,0.0689832,MT,0.13333333333333333,0.06896551724137931,30,1.930666666666303e-05,0.3938442663317451,4.902106826762975e-05,2,1.7682758620685135e-05,0.653367699422869,2.706402326944632e-05,extreme items,100,,
7,0.13328892,0.06892376,MT,0.13333333333333333,0.06896551724137931,30,-4.441333333332631e-05,-0.9060050077010239,4.902106826762975e-05,2,-4.175724137930881e-05,-1.5429059073582108,2.706402326944632e-05,least freq sample,100,,
8,0.1333344,0.06896824,MT,0.13333333333333333,0.06896551724137931,30,1.066666666660332e-06,0.021759351730910516,4.902106826762975e-05,2,2.722758620690713e-06,0.10060435558982637,2.706402326944632e-05,extreme items,233424280,,
9,0.1333115,0.06893145,MT,0.13333333333333333,0.06896551724137931,30,-2.183333333333204e-05,-0.44538673074469326,4.902106826762975e-05,2,-3.406724137930417e-05,-1.2587648569517773,2.706402326944632e-05,least freq sample,233424280,,
10,0.1333044,0.06894806,MT,0.13333333333333333,0.06896551724137931,30,-2.8933333333341915e-05,-0.590222415704628,4.902106826762975e-05,2,-1.7457241379303934e-05,-0.6450349678427939,2.706402326944632e-05,extreme items,429496729,,
11,0.13333584,0.0689454,MT,0.13333333333333333,0.06896551724137931,30,2.5066666666795356e-06,0.051134476568205904,4.902106826762975e-05,2,-2.0117241379305484e-05,-0.7433204287115973,2.706402326944632e-05,least freq sample,429496729,,
12,0.1333451,0.06896697,SHA256,0.13333333333333333,0.06896551724137931,30,1.1766666666662706e-05,0.24003284878295134,4.902106826762975e-05,2,1.452758620693051e-06,0.053678590438293386,2.706402326944632e-05,extreme items,100,,
13,0.1332487,0.06890211,SHA256,0.13333333333333333,0.06896551724137931,30,-8.463333333333378e-05,-1.7264685639096935,4.902106826762975e-05,2,-6.340724137930687e-05,-2.342860880218422,2.706402326944632e-05,least freq sample,100,,
14,0.1333653,0.06898401,SHA256,0.13333333333333333,0.06896551724137931,30,3.1966666666660704e-05,0.6521005721894755,4.902106826762975e-05,2,1.8492758620688998e-05,0.6832967307401863,2.706402326944632e-05,extreme items,233424280,,
15,0.13328378,0.06892003,SHA256,0.13333333333333333,0.06896551724137931,30,-4.955333333334089e-05,-1.0108578838552689,4.902106826762975e-05,2,-4.5487241379316146e-05,-1.6807272491030019,2.706402326944632e-05,least freq sample,233424280,,
16,0.13333776,0.06896982,SHA256,0.13333333333333333,0.06896551724137931,30,4.426666666668133e-06,0.09030130968384482,4.902106826762975e-05,2,4.302758620691738e-06,0.15898444136904424,2.706402326944632e-05,extreme items,429496729,,
17,0.13334586,0.06895155,SHA256,0.13333333333333333,0.06896551724137931,30,1.252666666667901e-05,0.2555363868916497,4.902106826762975e-05,2,-1.3967241379309048e-05,-0.5160814872294777,2.706402326944632e-05,least freq sample,429496729,,
18,0.13332364,0.06896538,MT_choice,0.13333333333333333,0.06896551724137931,30,-9.693333333338217e-06,-0.19773810885592324,4.902106826762975e-05,2,-1.3724137930271052e-07,-0.0050709895545222915,2.706402326944632e-05,extreme items,100,,
19,0.133224,0.0688838,MT_choice,0.13333333333333333,0.06896551724137931,30,-0.0001093333333333224,-2.2303335524313503,4.902106826762975e-05,2,-8.171724137931435e-05,-3.0194047856723607,2.706402326944632e-05,least freq sample,100,,
20,0.13332284,0.06895682,MT_choice,0.13333333333333333,0.06896551724137931,30,-1.0493333333333466e-05,-0.21405762265410613,4.902106826762975e-05,2,-8.697241379307386e-06,-0.32135803656088546,2.706402326944632e-05,extreme items,233424280,,
21,0.13333548,0.06894516,MT_choice,0.13333333333333333,0.06896551724137931,30,2.1466666666747347e-06,0.04379069535888206,4.902106826762975e-05,2,-2.035724137930406e-05,-0.7521882898425594,2.706402326944632e-05,least freq sample,233424280,,
22,0.1333323,0.06895935,MT_choice,0.13333333333333333,0.06896551724137931,30,-1.0333333333445438e-06,-0.021079371989673433,4.902106826762975e-05,2,-6.167241379306798e-06,-0.2278760004714173,2.706402326944632e-05,extreme items,429496729,,
